No,Year,Percentage,Country
1,2020,-2.94,CHINA (USD)
2,2020,-40.61,CHINA (USD)
3,2020,-6.89,CHINA (USD)
4,2020,3.04,CHINA (USD)
5,2020,-3.5,CHINA (USD)
6,2020,0.18,CHINA (USD)
7,2020,6.79,CHINA (USD)
8,2020,9.07,CHINA (USD)
9,2020,9.35,CHINA (USD)
10,2020,10.92,CHINA (USD)
11,2020,20.54,CHINA (USD)
12,2020,18.04,CHINA (USD)
133,2021,24.64,CHINA (USD)
134,2021,154.69,CHINA (USD)
135,2021,30.52,CHINA (USD)
136,2021,32.17,CHINA (USD)
137,2021,27.8,CHINA (USD)
138,2021,32.21,CHINA (USD)
139,2021,19.35,CHINA (USD)
140,2021,25.58,CHINA (USD)
141,2021,28.13,CHINA (USD)
142,2021,27.09,CHINA (USD)
37,2020,-22.74,HONG KONG (HKD)
38,2020,4.32,HONG KONG (HKD)
39,2020,-5.82,HONG KONG (HKD)
40,2020,-3.75,HONG KONG (HKD)
41,2020,-7.42,HONG KONG (HKD)
42,2020,-1.29,HONG KONG (HKD)
43,2020,-3,HONG KONG (HKD)
44,2020,-2.34,HONG KONG (HKD)
45,2020,9.11,HONG KONG (HKD)
46,2020,-1.11,HONG KONG (HKD)
47,2020,5.65,HONG KONG (HKD)
48,2020,11.65,HONG KONG (HKD)
163,2021,44.02,HONG KONG (HKD)
164,2021,30.4,HONG KONG (HKD)
165,2021,26.41,HONG KONG (HKD)
166,2021,24.37,HONG KONG (HKD)
167,2021,23.99,HONG KONG (HKD)
168,2021,33.05,HONG KONG (HKD)
169,2021,26.94,HONG KONG (HKD)
170,2021,25.89,HONG KONG (HKD)
171,2021,16.47,HONG KONG (HKD)
172,2021,21.36,HONG KONG (HKD)
97,2020,-2.79,INDONESIA (USD)
98,2020,9.8,INDONESIA (USD)
99,2020,-2.88,INDONESIA (USD)
100,2020,-6.95,INDONESIA (USD)
101,2020,-29.14,INDONESIA (USD)
102,2020,2.07,INDONESIA (USD)
103,2020,-10.16,INDONESIA (USD)
104,2020,-8.46,INDONESIA (USD)
105,2020,-0.88,INDONESIA (USD)
106,2020,-3.48,INDONESIA (USD)
107,2020,9.42,INDONESIA (USD)
108,2020,14.63,INDONESIA (USD)
213,2021,12.15,INDONESIA (USD)
214,2021,8.65,INDONESIA (USD)
215,2021,30.81,INDONESIA (USD)
216,2021,52.06,INDONESIA (USD)
217,2021,62,INDONESIA (USD)
218,2021,54.43,INDONESIA (USD)
219,2021,41.61,INDONESIA (USD)
220,2021,64.13,INDONESIA (USD)
221,2021,47.64,INDONESIA (USD)
222,2021,53.35,INDONESIA (USD)
13,2020,-2.55,JAPAN (JPY)
14,2020,-1.03,JAPAN (JPY)
15,2020,-11.73,JAPAN (JPY)
16,2020,-21.9,JAPAN (JPY)
17,2020,-28.3,JAPAN (JPY)
18,2020,-26.19,JAPAN (JPY)
19,2020,-19.2,JAPAN (JPY)
20,2020,-14.75,JAPAN (JPY)
21,2020,-4.95,JAPAN (JPY)
22,2020,-0.17,JAPAN (JPY)
23,2020,-4.16,JAPAN (JPY)
24,2020,1.99,JAPAN (JPY)
143,2021,6.39,JAPAN (JPY)
144,2021,-4.45,JAPAN (JPY)
145,2021,16.06,JAPAN (JPY)
146,2021,37.96,JAPAN (JPY)
147,2021,49.56,JAPAN (JPY)
148,2021,48.59,JAPAN (JPY)
149,2021,37.04,JAPAN (JPY)
150,2021,26.23,JAPAN (JPY)
151,2021,13.01,JAPAN (JPY)
152,2021,9.43,JAPAN (JPY)
25,2020,-6.64,KOREA (USD)
26,2020,3.62,KOREA (USD)
27,2020,-1.78,KOREA (USD)
28,2020,-25.65,KOREA (USD)
29,2020,-23.74,KOREA (USD)
30,2020,-10.89,KOREA (USD)
31,2020,-7.15,KOREA (USD)
32,2020,-10.34,KOREA (USD)
33,2020,7.15,KOREA (USD)
34,2020,-3.92,KOREA (USD)
35,2020,3.89,KOREA (USD)
36,2020,12.4,KOREA (USD)
153,2021,11.38,KOREA (USD)
154,2021,9.28,KOREA (USD)
155,2021,16.31,KOREA (USD)
156,2021,41.23,KOREA (USD)
157,2021,45.55,KOREA (USD)
158,2021,39.71,KOREA (USD)
159,2021,29.68,KOREA (USD)
160,2021,34.71,KOREA (USD)
161,2021,16.94,KOREA (USD)
162,2021,24.1,KOREA (USD)
109,2020,-2.38,MALAYSIA (RM)
110,2020,10.23,MALAYSIA (RM)
111,2020,-6.36,MALAYSIA (RM)
112,2020,-24.72,MALAYSIA (RM)
113,2020,-25.84,MALAYSIA (RM)
114,2020,8.1,MALAYSIA (RM)
115,2020,3.25,MALAYSIA (RM)
116,2020,-0.93,MALAYSIA (RM)
117,2020,13.6,MALAYSIA (RM)
118,2020,0.36,MALAYSIA (RM)
119,2020,4.66,MALAYSIA (RM)
120,2020,10.89,MALAYSIA (RM)
223,2021,6.33,MALAYSIA (RM)
224,2021,17.38,MALAYSIA (RM)
225,2021,30.87,MALAYSIA (RM)
226,2021,62.67,MALAYSIA (RM)
227,2021,46.99,MALAYSIA (RM)
228,2021,27.24,MALAYSIA (RM)
229,2021,5,MALAYSIA (RM)
230,2021,18.37,MALAYSIA (RM)
231,2021,24.68,MALAYSIA (RM)
232,2021,25.48,MALAYSIA (RM)
121,2020,-1.51,MALAYSIA (USD)
122,2020,7.88,MALAYSIA (USD)
123,2020,-11.1,MALAYSIA (USD)
124,2020,-28.89,MALAYSIA (USD)
125,2020,-28.76,MALAYSIA (USD)
126,2020,5.23,MALAYSIA (USD)
127,2020,-0.17,MALAYSIA (USD)
128,2020,-0.99,MALAYSIA (USD)
129,2020,14.55,MALAYSIA (USD)
130,2020,1.21,MALAYSIA (USD)
131,2020,5.81,MALAYSIA (USD)
132,2020,13.41,MALAYSIA (USD)
233,2021,7.46,MALAYSIA (USD)
234,2021,20.8,MALAYSIA (USD)
235,2021,36.82,MALAYSIA (USD)
236,2021,71.79,MALAYSIA (USD)
237,2021,54.62,MALAYSIA (USD)
238,2021,31.57,MALAYSIA (USD)
239,2021,6.69,MALAYSIA (USD)
240,2021,17.46,MALAYSIA (USD)
241,2021,24.22,MALAYSIA (USD)
242,2021,25.16,MALAYSIA (USD)
85,2020,-0.07,SINGAPORE (SGD)
86,2020,9.16,SINGAPORE (SGD)
87,2020,3.54,SINGAPORE (SGD)
88,2020,-9.5,SINGAPORE (SGD)
89,2020,-21.76,SINGAPORE (SGD)
90,2020,-1.89,SINGAPORE (SGD)
91,2020,-5.5,SINGAPORE (SGD)
92,2020,-1.83,SINGAPORE (SGD)
93,2020,0.95,SINGAPORE (SGD)
94,2020,-5.85,SINGAPORE (SGD)
95,2020,-5.39,SINGAPORE (SGD)
96,2020,2.63,SINGAPORE (SGD)
203,2021,1.08,SINGAPORE (SGD)
204,2021,-2.11,SINGAPORE (SGD)
205,2021,21.04,SINGAPORE (SGD)
206,2021,26.63,SINGAPORE (SGD)
207,2021,29.78,SINGAPORE (SGD)
208,2021,22.22,SINGAPORE (SGD)
209,2021,16.33,SINGAPORE (SGD)
210,2021,17.38,SINGAPORE (SGD)
211,2021,18.57,SINGAPORE (SGD)
212,2021,22.69,SINGAPORE (SGD)
49,2020,-7.63,TAIWAN (USD)
50,2020,24.72,TAIWAN (USD)
51,2020,-0.74,TAIWAN (USD)
52,2020,-1.34,TAIWAN (USD)
53,2020,-2,TAIWAN (USD)
54,2020,-3.86,TAIWAN (USD)
55,2020,0.25,TAIWAN (USD)
56,2020,8.28,TAIWAN (USD)
57,2020,9.32,TAIWAN (USD)
58,2020,11.19,TAIWAN (USD)
59,2020,11.84,TAIWAN (USD)
60,2020,11.93,TAIWAN (USD)
173,2021,36.82,TAIWAN (USD)
174,2021,9.69,TAIWAN (USD)
175,2021,27.07,TAIWAN (USD)
176,2021,38.43,TAIWAN (USD)
177,2021,38.57,TAIWAN (USD)
178,2021,35.13,TAIWAN (USD)
179,2021,34.75,TAIWAN (USD)
180,2021,26.9,TAIWAN (USD)
181,2021,29.08,TAIWAN (USD)
182,2021,24.6,TAIWAN (USD)
61,2020,3.41,THAILAND (USD)
62,2020,-3.96,THAILAND (USD)
63,2020,3.83,THAILAND (USD)
64,2020,2.13,THAILAND (USD)
65,2020,-22.47,THAILAND (USD)
66,2020,-23.08,THAILAND (USD)
67,2020,-11.37,THAILAND (USD)
68,2020,-7.94,THAILAND (USD)
69,2020,-3.86,THAILAND (USD)
70,2020,-6.71,THAILAND (USD)
71,2020,-3.65,THAILAND (USD)
72,2020,4.71,THAILAND (USD)
183,2021,0.35,THAILAND (USD)
184,2021,-2.59,THAILAND (USD)
185,2021,8.47,THAILAND (USD)
186,2021,13.09,THAILAND (USD)
187,2021,41.59,THAILAND (USD)
188,2021,43.95,THAILAND (USD)
189,2021,20.36,THAILAND (USD)
190,2021,8.73,THAILAND (USD)
191,2021,17.4,THAILAND (USD)
192,2021,17.36,THAILAND (USD)
73,2020,-17.03,VIET NAME (USD)
74,2020,49.89,VIET NAME (USD)
75,2020,5.93,VIET NAME (USD)
76,2020,-13.9,VIET NAME (USD)
77,2020,-12.37,VIET NAME (USD)
78,2020,5.27,VIET NAME (USD)
79,2020,8.22,VIET NAME (USD)
80,2020,7.04,VIET NAME (USD)
81,2020,3.6,VIET NAME (USD)
82,2020,12.51,VIET NAME (USD)
83,2020,10.75,VIET NAME (USD)
