No,Year,Percentage,Country
1,2017,6.73,CHINA (USD)
2,2018,9.90,CHINA (USD)
3,2019,0.50,CHINA (USD)
4,2020,3.62,CHINA (USD)
5,2021,32.32,CHINA (USD)
6,2017,11.79,JAPAN (JPY)
7,2018,4.08,JAPAN (JPY)
8,2019,-5.60,JAPAN (JPY)
9,2020,-11.09,JAPAN (JPY)
10,2021,22.07,JAPAN (JPY)
11,2017,15.80,KOREA (USD)
12,2018,5.43,KOREA (USD)
13,2019,-10.30,KOREA (USD)
14,2020,-5.48,KOREA (USD)
15,2021,25.98,KOREA (USD)
16,2017,8.03,HONG KONG (HKD)
17,2018,7.35,HONG KONG (HKD)
18,2019,-4.10,HONG KONG (HKD)
19,2020,-1.51,HONG KONG (HKD)
20,2021,26.67,HONG KONG (HKD)
21,2017,13.22,TAIWAN (USD)
22,2018,5.94,TAIWAN (USD)
23,2019,-1.40,TAIWAN (USD)
24,2020,4.85,TAIWAN (USD)
25,2021,29.97,TAIWAN (USD)
26,2017,9.89,THAILAND (USD)
27,2018,6.90,THAILAND (USD)
28,2019,-2.64,THAILAND (USD)
29,2020,-6.01,THAILAND (USD)
30,2021,15.74,THAILAND (USD)
31,2017,21.20,VIET NAME (USD)
32,2018,13.77,VIET NAME (USD)
33,2019,8.50,VIET NAME (USD)
34,2020,5.78,VIET NAME (USD)
35,2021,18.82,VIET NAME (USD)
36,2017,10.30,SINGAPORE (SGD)
37,2018,7.90,SINGAPORE (SGD)
38,2019,-4.20,SINGAPORE (SGD)
39,2020,-3.17,SINGAPORE (SGD)
40,2021,17.04,SINGAPORE (SGD)
41,2017,16.28,INDONESIA (USD)
42,2018,6.62,INDONESIA (USD)
43,2019,-6.95,INDONESIA (USD)
44,2020,-2.61,INDONESIA (USD)
45,2021,41.80,INDONESIA (USD)
46,2017,18.80,MALAYSIA (RM)
47,2018,7.34,MALAYSIA (RM)
48,2019,-0.85,MALAYSIA (RM)
49,2020,-1.13,MALAYSIA (RM)
50,2021,24.96,MALAYSIA (RM)
51,2017,14.77,MALAYSIA (USD)
52,2018,14.22,MALAYSIA (USD)
53,2019,-3.41,MALAYSIA (USD)
54,2020,-2.57,MALAYSIA (USD)
55,2021,27.52,MALAYSIA (USD)
