No,Year,Percentage,Country
1,2017,15.91,CHINA (USD)
2,2018,15.80,CHINA (USD)
3,2019,-2.70,CHINA (USD)
4,2020,-0.63,CHINA (USD)
5,2021,31.09,CHINA (USD)
6,2017,14.02,JAPAN (JPY)
7,2018,9.72,JAPAN (JPY)
8,2019,-5.00,JAPAN (JPY)
9,2020,-13.69,JAPAN (JPY)
10,2021,20.68,JAPAN (JPY)
11,2017,17.78,KOREA (USD)
12,2018,11.86,KOREA (USD)
13,2019,-6.00,KOREA (USD)
14,2020,-7.09,KOREA (USD)
15,2021,29.57,KOREA (USD)
16,2017,8.68,HONG KONG (HKD)
17,2018,8.37,HONG KONG (HKD)
18,2019,-6.50,HONG KONG (HKD)
19,2020,-3.29,HONG KONG (HKD)
20,2021,25.47,HONG KONG (HKD)
21,2017,12.55,TAIWAN (USD)
22,2018,10.49,TAIWAN (USD)
23,2019,0.40,TAIWAN (USD)
24,2020,0.17,TAIWAN (USD)
25,2021,33.74,TAIWAN (USD)
26,2017,14.71,THAILAND (USD)
27,2018,12.05,THAILAND (USD)
28,2019,-4.81,THAILAND (USD)
29,2020,-12.74,THAILAND (USD)
30,2021,31.28,THAILAND (USD)
31,2017,20.80,VIET NAME (USD)
32,2018,12.12,VIET NAME (USD)
33,2019,6.92,VIET NAME (USD)
34,2020,4.61,VIET NAME (USD)
35,2021,26.05,VIET NAME (USD)
36,2017,12.10,SINGAPORE (SGD)
37,2018,10.64,SINGAPORE (SGD)
38,2019,-2.10,SINGAPORE (SGD)
39,2020,-7.40,SINGAPORE (SGD)
40,2021,17.67,SINGAPORE (SGD)
41,2017,15.73,INDONESIA (USD)
42,2018,20.21,INDONESIA (USD)
43,2019,-9.53,INDONESIA (USD)
44,2020,-17.08,INDONESIA (USD)
45,2021,35.81,INDONESIA (USD)
46,2017,19.69,MALAYSIA (RM)
47,2018,5.19,MALAYSIA (RM)
48,2019,-3.45,MALAYSIA (RM)
49,2020,-5.76,MALAYSIA (RM)
50,2021,21.81,MALAYSIA (RM)
51,2017,15.61,MALAYSIA (USD)
52,2018,11.92,MALAYSIA (USD)
53,2019,-5.95,MALAYSIA (USD)
54,2020,-7.13,MALAYSIA (USD)
55,2021,24.40,MALAYSIA (USD)
