No,Category ,Amount,Date,Type
1,Total E&E,8.238636364,Jan-19,yoy%
2,Total E&E,4.87606664,Feb-19,yoy%
3,Total E&E,-1.853597235,Mar-19,yoy%
4,Total E&E,3.924646782,Apr-19,yoy%
5,Total E&E,0.582590816,May-19,yoy%
6,Total E&E,-6.016448454,Jun-19,yoy%
7,Total E&E,4.929135348,Jul-19,yoy%
8,Total E&E,-7.397003745,Aug-19,yoy%
9,Total E&E,-11.08474988,Sep-19,yoy%
10,Total E&E,-2.322305974,Oct-19,yoy%
11,Total E&E,-11.49601412,Nov-19,yoy%
12,Total E&E,-5.364218226,Dec-19,yoy%
13,Total E&E,4.510819872,Jan-19,mom%
14,Total E&E,-24.73024205,Feb-19,mom%
15,Total E&E,21.03835723,Mar-19,mom%
16,Total E&E,5.95390525,Apr-19,mom%
17,Total E&E,-11.32930514,May-19,mom%
18,Total E&E,-4.319300845,Jun-19,mom%
19,Total E&E,28.9088528,Jul-19,mom%
20,Total E&E,-18.03992312,Aug-19,mom%
21,Total E&E,-1.494968938,Sep-19,mom%
22,Total E&E,28.26979777,Oct-19,mom%
23,Total E&E,-26.38970261,Nov-19,mom%
24,Total E&E,12.51817088,Dec-19,mom%
25,Palm Oil,-19.13043478,Jan-19,yoy%
26,Palm Oil,-16.48351648,Feb-19,yoy%
27,Palm Oil,-13.59223301,Mar-19,yoy%
28,Palm Oil,-16.70644391,Apr-19,yoy%
29,Palm Oil,17.49311295,May-19,yoy%
30,Palm Oil,2.890202875,Jun-19,yoy%
31,Palm Oil,-10.09063397,Jul-19,yoy%
32,Palm Oil,23.26283988,Aug-19,yoy%
33,Palm Oil,-9.274016508,Sep-19,yoy%
34,Palm Oil,-9.455927136,Oct-19,yoy%
35,Palm Oil,-3.366303162,Nov-19,yoy%
36,Palm Oil,34.12162162,Dec-19,yoy%
37,Palm Oil,25.67567568,Jan-19,mom%
38,Palm Oil,-18.27956989,Feb-19,mom%
39,Palm Oil,17.10526316,Mar-19,mom%
40,Palm Oil,-1.966292135,Apr-19,mom%
41,Palm Oil,22.20630372,May-19,mom%
42,Palm Oil,-24.49089449,Jun-19,mom%
43,Palm Oil,-2.844851875,Jul-19,mom%
44,Palm Oil,30.39951729,Aug-19,mom%
45,Palm Oil,-15.94504471,Sep-19,mom%
46,Palm Oil,8.776168559,Oct-19,mom%
47,Palm Oil,-4.154202299,Nov-19,mom%
48,Palm Oil,11.03507452,Dec-19,mom%
49,Petroleum,-1.204819277,Jan-19,yoy%
50,Petroleum,-22.13114754,Feb-19,yoy%
51,Petroleum,-33.70165746,Mar-19,yoy%
52,Petroleum,-34.60207612,Apr-19,yoy%
53,Petroleum,-20,May-19,yoy%
54,Petroleum,31.42969294,Jun-19,yoy%
55,Petroleum,-45.64621764,Jul-19,yoy%
56,Petroleum,-39.81762918,Aug-19,yoy%
57,Petroleum,-45.90308881,Sep-19,yoy%
58,Petroleum,-50.50006528,Oct-19,yoy%
59,Petroleum,-23.25641497,Nov-19,yoy%
60,Petroleum,-24.31610942,Dec-19,yoy%
61,Petroleum,-25.22796353,Jan-19,mom%
62,Petroleum,-22.76422764,Feb-19,mom%
63,Petroleum,26.31578947,Mar-19,mom%
64,Petroleum,-21.25,Apr-19,mom%
65,Petroleum,31.21693122,May-19,mom%
66,Petroleum,26.13010855,Jun-19,mom%
67,Petroleum,-33.62222607,Jul-19,mom%
68,Petroleum,-4.638723404,Aug-19,mom%
69,Petroleum,-26.23148475,Sep-19,mom%
70,Petroleum,28.4421609,Oct-19,mom%
71,Petroleum,16.994186,Nov-19,mom%
72,Petroleum,13.4465337,Dec-19,mom%
73,Total E&E,-5.453484981,Jan-20,yoy%
74,Total E&E,-2.728025932,Feb-20,yoy%
75,Total E&E,-13.93976034,Mar-20,yoy%
76,Total E&E,-21.7336925,Apr-20,yoy%
77,Total E&E,-19.9257973,May-20,yoy%
78,Total E&E,15.92187659,Jun-20,yoy%
79,Total E&E,9.24133071,Jul-20,yoy%
80,Total E&E,8.13953179,Aug-20,yoy%
81,Total E&E,33.01149856,Sep-20,yoy%
82,Total E&E,3.038935235,Oct-20,yoy%
83,Total E&E,23.58029427,Nov-20,yoy%
84,Total E&E,18.074909,Dec-20,yoy%
85,Total E&E,4.412238325,Jan-20,mom%
86,Total E&E,-22.56046728,Feb-20,mom%
87,Total E&E,7.087268772,Mar-20,mom%
88,Total E&E,-3.641670517,Apr-20,mom%
89,Total E&E,-9.281076092,May-20,mom%
90,Total E&E,38.51510006,Jun-20,mom%
91,Total E&E,21.47987105,Jul-20,mom%
92,Total E&E,-18.8665656,Aug-20,mom%
93,Total E&E,21.16107385,Sep-20,mom%
94,Total E&E,-0.634279529,Oct-20,mom%
95,Total E&E,-11.71509884,Nov-20,mom%
